year,category,verbatim
2018,Funding Adequacy & Policy,The standard goal is 100 percent.
2018,Funding Adequacy & Policy,The funding formula is back end loaded.
2018,Funding Adequacy & Policy,The $1.9 billion net increase in the 2018 unfunded liability was caused by a combination of factors. The first factor shown in the table is the difference between actual employer/state contributions and the amount that would cover the employer/state's cost of benefits earned during the year and prevent the prior year’s unfunded liability from growing. That shortfall was $1.9 billion.
2018,Funding Adequacy & Policy,The state’s long-term goal is a 90 percent funded ratio.
2018,Funding Adequacy & Policy,"Under the 50-year funding plan, TRS will attain a funded ratio of 90 percent by 2045."
2018,Funding Adequacy & Policy,"In other words, TRS currently holds just 40 cents for every $1 it owes to all members."
2018,Funding Adequacy & Policy,"The actuarially determined pension liability, calculated as required by GASB Statements No. 67, is dependent on several assumptions including the assumption that future required contributions from all sources are made based on statutory requirements in existence as of the date of this report."
2018,Funding Adequacy & Policy,"As of June 30, 2018, TRS is 40.7 percent funded and carries a $75 billion unfunded liability."
2018,Funding Adequacy & Policy,"Historically, TRS has relied on the belief that the state will stick to a 23-year-old statutory funding plan for TRS and the other public pension systems that requires state government to allocate enough money annually to eliminate most of the systems’ unfunded liabilities over time."
2018,Funding Adequacy & Policy,"However, hope is not a reliable strategy and a sustainable funding solution has yet to emerge."
2018,Funding Adequacy & Policy,"As more Tier 2 members enter TRS, the combined employer normal cost continues to fall. By 2044, the combined employer normal cost is negative. In the meantime, the cost of Tier 1, which is a closed group, continues to increase as Tier 1 members age and accrue more service."
2018,Funding Adequacy & Policy,Future savings from reductions in retiree benefits are counted now before they are actually realized.
2018,Funding Adequacy & Policy,The biggest reason for the huge TRS unfunded liability is decades of underfunding by state government.
2018,Funding Adequacy & Policy,Tier 2 would be overfunded because member contributions are higher than the cost of Tier 2 benefits. The surplus Tier 2 assets lower the employer/state contributions required for Tier 1. Tier 2 active members are projected to outnumber Tier 1 active members by 2025.
2018,Funding Adequacy & Policy,"Because of these strategic changes, expected returns would fall, making the funding challenge even greater."
2018,Funding Adequacy & Policy,It would not take a significant change in current conditions to put TRS on a path towards significant difficulty.
2018,Funding Adequacy & Policy,The statutory pension funding formula in Illinois diverges from several generally-accepted actuarial funding standards.
2018,Funding Adequacy & Policy,"The expected benefit payments do not equal the present value of the reserve. The additional amount needed (the unfunded actuarial accrued liability) as calculated by the actuary was $75.3 billion in FY18, based on the actuarial value of assets."
2018,Funding Adequacy & Policy,Circumstances where pension contributions represent more than 20 percent of the state’s budget likely are not sustainable.
2018,Funding Adequacy & Policy,"Projected contributions assume that all statutorily required contributions are made through FY2120 including projected contributions from members, employers and the State of Illinois (nonemployer contributing entity)."
2018,Funding Adequacy & Policy,"Unfortunately, Illinois law mandates every year that TRS and the state’s other pension systems are continually underfunded."
